Virtuális,sport,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902109,H,London,Ágyúk,"1,75",,,,,,,,,,,
902109,D,Nem,lesz,gól,"15,50",,,,,,,,,,
902109,V,Manchester,Kék,"1,90",,,,,,,,,,,
902111-Hendikep,0:2,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902111,H,London,Ágyúk,"7,00",,,,,,,,,,,
902111,D,Döntetlen,"6,75",,,,,,,,,,,,
902111,V,Manchester,Kék,"1,16",,,,,,,,,,,
902110-Hendikep,0:1,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902110,H,London,Ágyúk,"4,10",,,,,,,,,,,
902110,D,Döntetlen,"4,20",,,,,,,,,,,,
902110,V,Manchester,Kék,"1,50",,,,,,,,,,,
902112-Hendikep,1:0SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902112,H,London,Ágyúk,"1,45",,,,,,,,,,,
902112,D,Döntetlen,"4,15",,,,,,,,,,,,
902112,V,Manchester,Kék,"4,55",,,,,,,,,,,
902113-Hendikep,2:0,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902113,H,London,Ágyúk,"1,14",,,,,,,,,,,
902113,D,Döntetlen,"6,00",,,,,,,,,,,,
902113,V,Manchester,Kék,"10,00",,,,,,,,,,,
902103-Gólszám,"1,5",,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902103,H,"Kevesebb,",mint,"1,5","4,30",,,,,,,,,,
902103,V,"Több,",mint,"1,5","1,14",,,,,,,,,,
902104-Gólszám,"2,5",,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902104,H,"Kevesebb,",mint,"2,5","2,45SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902104,V,"Több,",mint,"2,5","1,40",,,,,,,,,,
902105-Gólszám,"3,5",,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902105,H,"Kevesebb,",mint,"3,5","1,60",,,,,,,,,,
902105,V,"Több,",mint,"3,5","2,10",,,,,,,,,,
902116-Gólszám,(pontosan),,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902116,01,0,"16,25",,,,,,,,,,,,
902116,02,1,"6,75",,,,,,,,,,,,
902116,03,2,"4,70",,,,,,,,,,,,
902116,04,3,"3,70",,,,,,,,,,,,
902116,05,4,"4,20",,,,,,,,,,,,
902116,06,5,"6,00",,,,,,,,,,,,
902116,07,6+,"9,50SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
902130-Gólok,száma:,páros,vagy,páratlan,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902130,H,Páratlan,"1,80",,,,,,,,,,,,
902130,V,Páros,"1,80",,,,,,,,,,,,
902132-Hazai,csapat,gólszám,"0,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902132,H,"Kevesebb,",mint,"0,5","4,00",,,,,,,,,,
902132,V,"Több,",mint,"0,5","1,16",,,,,,,,,,
902133-Hazai,csapat,gólszám,"1,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902133,H,"Kevesebb,",mint,"1,5","1,80",,,,,,,,,,
902133,V,"Több,",mint,"1,5","1,80",,,,,,,,,,
902134-Hazai,csapat,gólszám,"2,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902134,H,"Kevesebb,",mint,"2,5","1,20",,,,,,,,,,
902134,V,"Több,",mint,"2,5","3,55SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,
902117-Hazai,csapat,góljainak,a,száma,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902117,01,0,"4,75",,,,,,,,,,,,
902117,02,1,"2,85",,,,,,,,,,,,
902117,03,2,"3,30",,,,,,,,,,,,
902117,04,3,"6,25",,,,,,,,,,,,
902117,05,4+,"10,75",,,,,,,,,,,,
902136-Vendégcsapat,gólszám,"0,5",,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902136,H,"Kevesebb,",mint,"0,5","3,65",,,,,,,,,,
902136,V,"Több,",mint,"0,5","1,20",,,,,,,,,,
902135-Vendégcsapat,gólszám,"1,5",,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902135,H,"Kevesebb,",mint,"1,5","1,75",,,,,,,,,,
902135,V,"Több,",mint,"1,5","1,90SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,
902137-Vendégcsapat,gólszám,"2,5",,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902137,H,"Kevesebb,",mint,"2,5","1,18",,,,,,,,,,
902137,V,"Több,",mint,"2,5","3,80",,,,,,,,,,
902118-Vendégcsapat,góljainak,a,száma,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902118,01,0,"4,20",,,,,,,,,,,,
902118,02,1,"2,95",,,,,,,,,,,,
902118,03,2,"3,30",,,,,,,,,,,,
902118,04,3,"6,50",,,,,,,,,,,,
902118,05,4+,"13,50",,,,,,,,,,,,
902123-1X2,+,Gólszám,"1,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902123,01,Hazai,és,"kevesebb,",mint,"1,5","13,25",,,,,,,,
902123,02,Döntetlen,és,"kevesebb,",mint,"1,5","15,75",,,,,,,,
902123,03,Vendég,és,"kevesebb,",mint,"1,5","13,25SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902123,04,Hazai,és,"több,",mint,"1,5","2,60",,,,,,,,
902123,05,Döntetlen,és,"több,",mint,"1,5","4,35",,,,,,,,
902123,06,Vendég,és,"több,",mint,"1,5","2,70",,,,,,,,
902122-1X2,+,Gólszám,"2,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902122,01,Hazai,és,"kevesebb,",mint,"2,5","8,00",,,,,,,,
902122,02,Döntetlen,és,"kevesebb,",mint,"2,5","5,75",,,,,,,,
902122,03,Vendég,és,"kevesebb,",mint,"2,5","8,00",,,,,,,,
902122,04,Hazai,és,"több,",mint,"2,5","2,95",,,,,,,,
902122,05,Döntetlen,és,"több,",mint,"2,5","8,50",,,,,,,,
902122,06,Vendég,és,"több,",mint,"2,5","3,15",,,,,,,,
902102-1.,félidő,-,1X2,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902102,H,London,Ágyúk,"2,60",,,,,,,,,,,
902102,D,Döntetlen,"2,45SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902102,V,Manchester,Kék,"2,80",,,,,,,,,,,
902115-1.,félidő,-,Kétesély,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902115,H,London,Ágyúk,vagy,Döntetlen,"1,25",,,,,,,,,
902115,D,London,Ágyúk,vagy,Manchester,Kék,"1,35",,,,,,,,
902115,V,Döntetlen,vagy,Manchester,Kék,"1,30",,,,,,,,,
902121-1.,félidő,-,Gólszám,"0,5",,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902121,H,"Kevesebb,",mint,"0,5","4,10",,,,,,,,,,
902121,V,"Több,",mint,"0,5","1,15",,,,,,,,,,
902120-1.,félidő,-,Gólszám,"1,5",,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902120,H,"Kevesebb,",mint,"1,5","1,85",,,,,,,,,,
902120,V,"Több,",mint,"1,5","1,75SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,
902119-1.,félidő,-,Gólszám,"2,5",,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902119,H,"Kevesebb,",mint,"2,5","1,20",,,,,,,,,,
902119,V,"Több,",mint,"2,5","3,65",,,,,,,,,,
902114-Pontos,végeredmény,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902114,01,0:0,"14,25",,,,,,,,,,,,
902114,02,1:0,"11,75",,,,,,,,,,,,
902114,03,2:0,"16,50",,,,,,,,,,,,
902114,04,3:0,"20,00",,,,,,,,,,,,
902114,05,0:1,"11,75",,,,,,,,,,,,
902114,06,1:1,"7,75",,,,,,,,,,,,
902114,07,2:1,"8,75",,,,,,,,,,,,
902114,08,3:1,"16,50",,,,,,,,,,,,
902114,09,0:2,"16,50",,,,,,,,,,,,
902114,10,1:2,"8,50SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902114,11,2:2,"8,75",,,,,,,,,,,,
902114,12,3:2,"15,75",,,,,,,,,,,,
902114,13,0:3,"28,00",,,,,,,,,,,,
902114,14,1:3,"14,25",,,,,,,,,,,,
902114,15,2:3,"15,75",,,,,,,,,,,,
902114,16,3:3,"50,00",,,,,,,,,,,,
902114,17,Más,"5,00",,,,,,,,,,,,
902127-Félidő/végeredmény,,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902127,01,London,Ágyúk/London,Ágyúk,"3,35",,,,,,,,,,
902127,02,London,Ágyúk/Döntetlen,"14,75",,,,,,,,,,,
902127,03,London,Ágyúk/Manchester,Kék,"32,00",,,,,,,,,,
902127,04,Döntetlen/London,Ágyúk,"7,00",,,,,,,,,,,
902127,05,Döntetlen/Döntetlen,"6,25",,,,,,,,,,,,
902127,06,Döntetlen/Manchester,Kék,"7,50SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902127,07,Manchester,Kék/London,Ágyúk,"40,00",,,,,,,,,,
902127,08,Manchester,Kék/Döntetlen,"16,25",,,,,,,,,,,
902127,09,Manchester,Kék/Manchester,Kék,"3,55",,,,,,,,,,
902107-Mindkét,csapat,szerez,gólt,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902107,H,Igen,"1,45",,,,,,,,,,,,
902107,V,Nem,"2,55",,,,,,,,,,,,
902109-Melyik,csapat,szerez,gólt?,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902109,01,csak,London,Ágyúk,"5,00",,,,,,,,,,
902109,02,csak,Manchester,Kék,"6,00",,,,,,,,,,
902109,03,Mindkettő,"1,45",,,,,,,,,,,,
902109,04,Egyik,sem,"16,00",,,,,,,,,,,
902126-Melyik,félidőben,lesz,több,gól?SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
902126,H,1.,félidőben,"2,30",,,,,,,,,,,
902126,D,Ugyanannyi,"3,35",,,,,,,,,,,,
902126,V,2.,félidőben,"2,40",,,,,,,,,,,
OUTRIGHT,,,,,,,,,,,,,,,
SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,,
Nincs,találat.,,,,,,,,,,,,,,
A,csapat-,és,játékosnevek,"kitaláltak,",mindennemű,egyezés,a,valósággal,kizárólag,a,véletlen,műve.902001,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Nottingham-Everton,,,,,,,,,,,,,,,
11.03.,"20:374,55",,,,,,,,,,,,,,
"H3,55",,,,,,,,,,,,,,,
"D1,65",,,,,,,,,,,,,,,
V29,,,,,,,,,,,,,,,
902301,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Wolverhampton-Vörös,Ördögök,,,,,,,,,,,,,,
11.03.,"20:373,35",,,,,,,,,,,,,,
"H3,85",,,,,,,,,,,,,,,
"D1,80",,,,,,,,,,,,,,,
V32,,,,,,,,,,,,,,,
902201,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Fulham-Liverpool,,,,,,,,,,,,,,,
11.03.,"20:373,75",,,,,,,,,,,,,,
"H3,10",,,,,,,,,,,,,,,
"D1,90",,,,,,,,,,,,,,,
V30,Ügyfélszolgálat:,,,,,,,,,,,,,,
06,(1),201-0580,,,,,,,,,,,,,
id,723óái,,,,,,,,,,,,,,
A,túlzásba,vitt,szerencsejáték,"ártalmas,",,,,,,,,,,,
szenvedélybetegség,kialakulásához,vezethet!,,,,,,,,,,,,,
Ajánlott,felelős,szervező!,,,,,,,,,,,,,
A,szerencsejátékban,,,,,,,,,,,,,,
A,részvételi,szabályzat,megtekintéséhez,kattints,ide.,,,,,,,,,,
Tudnivalók,a,V-sport,fogadásról,,,,,,,,,,,,
Milyen,kimenetelekre,fogadhatsz?,,,,,,,,,,,,,
Mi,az,a,V,-sport?,,,,,,,,,,,
Mi,a,V,-sport,fogadás,lényege?,,,,,,,,,,
Ne,maradj,ki,az,izgalomból!,Nézd,meg,a,V,-sport,kínálatot,és,próbáld,ki,te,is!
Mikortól,fogadhatsz,egy,V,-sport,eseményre?,,,,,,,,,,
Hol,tudod,megnézni,a,V,-sport,eredményeket?,,,,,,,,,
Miért,érdemes,V,-sport,eseményekre,fogadni?,,,,,,,,,,
Hol,tudod,követni,a,V,-sport,meccseket?,,,,,,,,,
Hogyan,épül,fel,egy,bajnokság,fordulója?,,,,,,,,,,
Mi,lesz,a,héten,a,V,-sport,kínálat?minden,nap,7-23,óráig,,,,,
ugyfelszolgalat@szerencsejatek.hu,,,,,,,,,,,,,,,
A,játékszenvedélyről,,,,,,,,,,,,,,
18,éven,aluli,személyek,,,,,,,,,,,,
nem,vehetnek,részt,,,,,,,,,,,,,
Adatvédelmi,tájékoztató,Részvételi,szabályzat,Lottózók,SzerencseMix,Nyereményjegyzék,,,,,,,,,
