NYITÓLAP/LABDARÚGÁS/VIRTUÁLIS,LABDARÚGÁS,,,,,,,,,,,,,,,,,,,
Mérkőzés,száma,2,4,6,7,,,,,,,,,,,,,,,
1,16,4,12,6,16,,,,,,,,,,,,,,,
2,15,2,13,6,14,,,,,,,,,,,,,,,
3,13,9,4,6,13,,,,,,,,,,,,,,,
4,7,2,5,6,12,,,,,,,,,,,,,,,
5,11,8,3,6,10,,,,,,,,,,,,,,,
6,13,11,2,6,9,,,,,,,,,,,,,,,
7,8,6,2,6,9,,,,,,,,,,,,,,,
8,5,6,-1,6,9,,,,,,,,,,,,,,,
9,6,6,0,6,8Hely.Csapat,LG,KG,PK,Játszott,Pont,Forma,Következő,ellenfél,,,,,,,
Manchester,Kék,,,,,,,,,,,,,,,,,,,
London,Ágyúk,,,,,,,,,,,,,,,,,,,
Liverpool,,,,,,,,,,,,,,,,,,,,
Fulham,,,,,,,,,,,,,,,,,,,,
Everton,,,,,,,,,,,,,,,,,,,,
Nottingham,,,,,,,,,,,,,,,,,,,,
Tottenham,,,,,,,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,,,,,,,,
Vörös,Ördögök,,,,,,,,,,,,,,,,,,,
Wolverhampton,,,,,,,,,,,,,,,,,,,,
Wolverhampton,,,,,,,,,,,,,,,,,,,,
Vörös,Ördögök,,,,,,,,,,,,,,,,,,,
London,Ágyúk,,,,,,,,,,,,,,,,,,,
Manchester,Kék,,,,,,,,,,,,,,,,,,,
Chelsea,,,,,,,,,,,,,,,,,,,,
Aston,Oroszlán,,,,,,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,,,,,,,,
TottenhamG,G,G,D,G,G,,,,,,,,,,,,,,,
G,G,D,G,G,D,,,,,,,,,,,,,,,
G,D,G,G,V,G,,,,,,,,,,,,,,,
G,G,D,D,G,D,,,,,,,,,,,,,,,
G,G,G,V,D,V,,,,,,,,,,,,,,,
V,G,G,V,V,G,,,,,,,,,,,,,,,
V,G,D,D,D,G,,,,,,,,,,,,,,,
G,V,D,G,D,D,,,,,,,,,,,,,,,
G,V,V,G,D,D10,9,10,-1,6,7,,,,,,,,,,
11,6,11,-5,6,7,,,,,,,,,,,,,,,
12,5,10,-5,6,6,,,,,,,,,,,,,,,
13,4,9,-5,6,5,,,,,,,,,,,,,,,
14,4,9,-5,6,4,,,,,,,,,,,,,,,
15,2,11,-9,6,2,,,,,,,,,,,,,,,
16,0,10,-10,6,1Hely.Csapat,LG,KG,PK,Játszott,Pont,Forma,Következő,ellenfél,,,,,,,
Aston,Oroszlán,,,,,,,,,,,,,,,,,,,
Chelsea,,,,,,,,,,,,,,,,,,,,
Fulham,,,,,,,,,,,,,,,,,,,,
Liverpool,,,,,,,,,,,,,,,,,,,,
Brentford,,,,,,,,,,,,,,,,,,,,
West,Ham,,,,,,,,,,,,,,,,,,,
Newcastle,,,,,,,,,,,,,,,,,,,,
Crystal,Palace,,,,,,,,,,,,,,,,,,,
Crystal,Palace,,,,,,,,,,,,,,,,,,,
Newcastle,,,,,,,,,,,,,,,,,,,,
Nottingham,,,,,,,,,,,,,,,,,,,,
Everton,,,,,,,,,,,,,,,,,,,,
West,Ham,,,,,,,,,,,,,,,,,,,
Brentford,,,,,,,,,,,,,,,,,,,,
ASO,BRE,BRI,CHE,CRY,EVE,FUL,LIV,LON,MAK,NEW,NOT,TOT,VOR,WHU,WOL,,,,,
Aston,Oroszlán,21:13,23:11,22:27,21:57,21:43,22:41,22:56,2:1,23:18,2:0,2:2,20:59,0:2,20:44,22:12,,,,
Brentford,23:03,22:56,1:2,1:0,0:0,20:44,20:59,22:12,21:21,21:43,21:57,22:41,23:18,22:27,1:3,,,,,
Brighton,21:21,21:06,0:0,22:34,22:05,1:2,20:51,23:18,21:35,22:19,22:49,20:37,21:50,1:0,23:03,,,,,
Chelsea,20:37,22:19,21:43,23:03,22:49,3:1,0:4,1:1,22:34,21:06,21:21,22:05,20:51,21:50,23:18,,,,,
Crystal,Palace,2:1,21:50,20:44,21:13,22:19,21:28,0:0,22:56,22:05,20:37,22:41,21:35,0:1,23:11,20:59,,,,
Everton,2:0,21:35,2:1,20:59,4:1,21:13,21:28,22:41,21:50,22:12,22:27,23:11,3:0,22:56,20:44,,,,,
Fulham,20:51,22:34,22:12,21:57,23:18,23:03,20:37,1:1,22:49,21:21,2:0,22:19,21:06,2:0,21:43,,,,,
Liverpool,21:06,22:49,22:41,22:12,21:43,23:18,22:27,1:1,23:03,1:0,2:0,20:44,21:21,5:0,21:57,,,,,
London,Ágyúk,22:19,2:0,21:28,21:35,21:06,20:51,21:50,22:05,20:37,22:49,23:03,2:2,22:34,1:0,21:21,,,,
Manchester,Kék,21:28,23:11,1:3,20:44,2:1,6:1,20:59,21:13,22:27,21:57,22:12,22:56,21:43,22:41,2:1Eredmények,,,,
Virtuális,Labdarúgás,Liga,Mód,RetailG,V,D,V,G,V,,,,,,,,,,,
V,G,G,V,D,V,,,,,,,,,,,,,,,
V,V,V,G,G,V,,,,,,,,,,,,,,,
V,D,V,D,V,G,,,,,,,,,,,,,,,
V,V,V,G,V,D,,,,,,,,,,,,,,,
V,V,D,V,V,D,,,,,,,,,,,,,,,
V,V,V,V,D,VASO,BRE,BRI,CHE,CRY,EVE,FUL,LIV,LON,MAK,NEW,NOT,TOT,VOR,WHU,WOL
Newcastle,21:50,3:1,0:1,22:56,22:27,1:1,23:11,21:35,20:59,0:0,20:44,21:28,22:05,21:13,22:41,,,,,
Nottingham,22:05,0:1,20:59,23:11,20:51,20:37,21:35,21:50,21:13,0:3,22:34,0:0,22:19,21:28,22:56,,,,,
Tottenham,22:49,20:51,22:27,0:0,3:1,21:21,1:0,22:34,21:57,21:06,23:18,21:43,23:03,22:12,3:0,,,,,
Vörös,Ördögök,21:35,21:28,2:2,22:41,22:12,21:57,22:56,23:11,20:44,1:3,4:0,3:0,21:13,20:59,22:27,,,,
West,Ham,22:34,20:37,21:57,0:0,21:21,21:06,22:05,22:19,21:43,20:51,23:03,23:18,0:1,22:49,3:1,,,,
Wolverhampton,3:2,22:05,21:13,21:28,22:49,22:34,5:0,1:3,23:11,22:19,20:51,21:06,21:50,20:37,21:35,,,,,
