Virtuális,sport,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901735,H,"Kevesebb,",mint,"1,5","1,06",,,,,,,,,,
901735,V,"Több,",mint,"1,5","6,00",,,,,,,,,,
901718-Vendégcsapat,góljainak,a,számaSORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901718,01,0,"1,55",,,,,,,,,,,,
901718,02,1,"2,95",,,,,,,,,,,,
901718,03,2,"10,75",,,,,,,,,,,,
901718,04,3,"54,00",,,,,,,,,,,,
901718,05,4+,"100,00",,,,,,,,,,,,
901723-1X2,+,Gólszám,"1,5",,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901723,01,Hazai,és,"kevesebb,",mint,"1,5","4,70",,,,,,,,
901723,02,Döntetlen,és,"kevesebb,",mint,"1,5","10,00",,,,,,,,
901723,03,Vendég,és,"kevesebb,",mint,"1,5","17,00",,,,,,,,
901723,04,Hazai,és,"több,",mint,"1,5","1,60",,,,,,,,
901723,05,Döntetlen,és,"több,",mint,"1,5","7,00",,,,,,,,
901723,06,Vendég,és,"több,",mint,"1,5","14,50",,,,,,,,
901722-1X2,+,Gólszám,"2,5SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901722,01,Hazai,és,"kevesebb,",mint,"2,5","2,55",,,,,,,,
901722,02,Döntetlen,és,"kevesebb,",mint,"2,5","4,80",,,,,,,,
901722,03,Vendég,és,"kevesebb,",mint,"2,5","14,25",,,,,,,,
901722,04,Hazai,és,"több,",mint,"2,5","2,20",,,,,,,,
901722,05,Döntetlen,és,"több,",mint,"2,5","30,00",,,,,,,,
901722,06,Vendég,és,"több,",mint,"2,5","18,25",,,,,,,,
901702-1.,félidő,-,1X2,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901702,H,Chelsea,"1,60",,,,,,,,,,,,
901702,D,Döntetlen,"2,40",,,,,,,,,,,,
901702,V,Aston,Oroszlán,"9,75",,,,,,,,,,,
901715-1.,félidő,-,Kétesély,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901715,H,Chelsea,vagy,Döntetlen,"1,05",,,,,,,,,,
901715,D,Chelsea,vagy,Aston,Oroszlán,"1,30SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901715,V,Döntetlen,vagy,Aston,Oroszlán,"1,75",,,,,,,,,
901721-1.,félidő,-,Gólszám,"0,5",,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901721,H,"Kevesebb,",mint,"0,5","2,95",,,,,,,,,,
901721,V,"Több,",mint,"0,5","1,30",,,,,,,,,,
901720-1.,félidő,-,Gólszám,"1,5",,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901720,H,"Kevesebb,",mint,"1,5","1,40",,,,,,,,,,
901720,V,"Több,",mint,"1,5","2,45",,,,,,,,,,
901719-1.,félidő,-,Gólszám,"2,5",,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901719,H,"Kevesebb,",mint,"2,5","1,09",,,,,,,,,,
901719,V,"Több,",mint,"2,5","5,25",,,,,,,,,,
901714-Pontos,végeredménySORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901714,01,0:0,"9,00",,,,,,,,,,,,
901714,02,1:0,"4,35",,,,,,,,,,,,
901714,03,2:0,"4,50",,,,,,,,,,,,
901714,04,3:0,"5,75",,,,,,,,,,,,
901714,05,0:1,"15,50",,,,,,,,,,,,
901714,06,1:1,"7,75",,,,,,,,,,,,
901714,07,2:1,"10,75",,,,,,,,,,,,
901714,08,3:1,"15,50",,,,,,,,,,,,
901714,09,0:2,"50,00",,,,,,,,,,,,
901714,10,1:2,"25,00",,,,,,,,,,,,
901714,11,2:2,"39,00",,,,,,,,,,,,
901714,12,3:2,"46,00",,,,,,,,,,,,
901714,13,0:3,"50,00",,,,,,,,,,,,
901714,14,1:3,"50,00",,,,,,,,,,,,
901714,15,2:3,"50,00",,,,,,,,,,,,
901714,16,3:3,"50,00SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901714,17,Más,"5,25",,,,,,,,,,,,
901727-Félidő/végeredmény,,,,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901727,01,Chelsea/Chelsea,"1,70",,,,,,,,,,,,
901727,02,Chelsea/Döntetlen,"16,25",,,,,,,,,,,,
901727,03,Chelsea/Aston,Oroszlán,"76,00",,,,,,,,,,,
901727,04,Döntetlen/Chelsea,"4,30",,,,,,,,,,,,
901727,05,Döntetlen/Döntetlen,"6,75",,,,,,,,,,,,
901727,06,Döntetlen/Aston,Oroszlán,"17,00",,,,,,,,,,,
901727,07,Aston,Oroszlán/Chelsea,"50,00",,,,,,,,,,,
901727,08,Aston,Oroszlán/Döntetlen,"34,00",,,,,,,,,,,
901727,09,Aston,Oroszlán/Aston,Oroszlán,"18,00",,,,,,,,,,
901707-Mindkét,csapat,szerez,gólt,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901707,H,Igen,"2,65SORSZÁM","ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901707,V,Nem,"1,40",,,,,,,,,,,,
901709-Melyik,csapat,szerez,gólt?,,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901709,01,csak,Chelsea,"1,70",,,,,,,,,,,
901709,02,csak,Aston,Oroszlán,"14,25",,,,,,,,,,
901709,03,Mindkettő,"2,60",,,,,,,,,,,,
901709,04,Egyik,sem,"10,75",,,,,,,,,,,
901726-Melyik,félidőben,lesz,több,gól?,,,,,,,,,,,
SORSZÁM,KIMENETEL,ODDS,,,,,,,,,,,,,
901726,H,1.,félidőben,"2,40",,,,,,,,,,,
901726,D,Ugyanannyi,"3,00",,,,,,,,,,,,
901726,V,2.,félidőben,"2,50",,,,,,,,,,,
901601,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Brighton-Tottenham,,,,,,,,,,,,,,,
11.03.,"20:373,80",,,,,,,,,,,,,,
"H3,80",,,,,,,,,,,,,,,
"D1,70",,,,,,,,,,,,,,,
V30,,,,,,,,,,,,,,,
901901,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
"2193372,80",,,,,,,,,,,,,,,
"H3,00",,,,,,,,,,,,,,,
"D2,40",,,,,,,,,,,,,,,
V30,SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,
OUTRIGHT,,,,,,,,,,,,,,,
SORSZÁM,"ESEMÉNY,",IDŐPONT,HAZAI,DÖNTETLEN,VENDÉG,PIACOK,,,,,,,,,
Nincs,találat.Crystal,Palace-Newcastle,,,,,,,,,,,,,
11.03.,20:37,,,,,,,,,,,,,,
901801,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
West,Ham-Brentford,,,,,,,,,,,,,,
11.03.,"20:372,80",,,,,,,,,,,,,,
"H3,05",,,,,,,,,,,,,,,
"D2,35",,,,,,,,,,,,,,,
V31,,,,,,,,,,,,,,,
902101,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
London,Ágyúk-Manchester,Kék,,,,,,,,,,,,,
11.03.,"20:372,35",,,,,,,,,,,,,,
"H3,70",,,,,,,,,,,,,,,
"D2,45",,,,,,,,,,,,,,,
V32,,,,,,,,,,,,,,,
902001,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Nottingham-Everton,,,,,,,,,,,,,,,
11.03.,"20:374,55",,,,,,,,,,,,,,
"H3,55",,,,,,,,,,,,,,,
"D1,65",,,,,,,,,,,,,,,
V29,,,,,,,,,,,,,,,
902301,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Wolverhampton-Vörös,Ördögök,,,,,,,,,,,,,,
11.03.,"20:373,35",,,,,,,,,,,,,,
"H3,85",,,,,,,,,,,,,,,
"D1,80",,,,,,,,,,,,,,,
V32,,,,,,,,,,,,,,,
902201,,,,,,,,,,,,,,,
Virtuális,"Labdarúgás,",Virtuális,Premier,Liga,,,,,,,,,,,
219337,,,,,,,,,,,,,,,
Fulham-Liverpool,,,,,,,,,,,,,,,
11.03.,"20:373,75",,,,,,,,,,,,,,
"H3,10",,,,,,,,,,,,,,,
"D1,90",,,,,,,,,,,,,,,
V30,Ügyfélszolgálat:,,,,,,,,,,,,,,
06(1)201-0580,,,,,,,,,,,,,,,
A,túlzásba,vitt,szerencsejáték,"ártalmas,",,,,,,,,,,,
Ajánlott,felelős,szervező!,,,,,,,,,,,,,
A,csapat-,és,játékosnevek,"kitaláltak,",mindennemű,egyezés,a,valósággal,kizárólag,a,véletlen,műve.,,,
A,részvételi,szabályzat,megtekintéséhez,kattints,ide.,,,,,,,,,,
Tudnivalók,a,V-sport,fogadásról,,,,,,,,,,,,
Milyen,kimenetelekre,fogadhatsz?,,,,,,,,,,,,,
Mi,az,a,V,-sport?,,,,,,,,,,,
Mi,a,V,-sport,fogadás,lényege?,,,,,,,,,,
Ne,maradj,ki,az,izgalomból!,Nézd,meg,a,V,-sport,kínálatot,és,próbáld,ki,te,is!
Mikortól,fogadhatsz,egy,V,-sport,eseményre?,,,,,,,,,,
Hol,tudod,megnézni,a,V,-sport,eredményeket?,,,,,,,,,
Miért,érdemes,V,-sport,eseményekre,fogadni?,,,,,,,,,,
Hol,tudod,követni,a,V,-sport,meccseket?,,,,,,,,,
Hogyan,épül,fel,egy,bajnokság,fordulója?,,,,,,,,,,
Mi,lesz,a,héten,a,V,-sport,kínálat?06,(1),201,0580,,,,,
minden,nap,7-23,óráig,,,,,,,,,,,,
ugyfelszolgalat@szerencsejatek.hu,,,,,,,,,,,,,,,
szenvedélybetegség,kialakulásához,vezethet!,,,,,,,,,,,,,
A,játékszenvedélyről,,,,,,,,,,,,,,
A,szerencsejátékban,,,,,,,,,,,,,,
18,éven,aluli,személyek,,,,,,,,,,,,
nem,vehetnek,részt,,,,,,,,,,,,,
Adatvédelmi,tájékoztató,Részvételi,szabályzat,Lottózók,SzerencseMix,Nyereményjegyzék,,,,,,,,,
